character,count
Wang Kuang,6
Huan Jie,6
Zhang Ying,6
Yang Dajiang,6
Han Song,6
Wang Zhi,6
Cui Yan,6
Tian Chou,6
Guan Zhong,6
Cui Zhouping,6
Ge Ding,6
Yan Pu,6
Yang Huai,6
Deng Xian,6
Li Yan,6
Cao Zhen,6
Prince Xian,5
Sun Jing,5
she. “,5
Xue Lan,5
Lady Qiong,5
Zhu Zhi,5
Xu Si,5
Quin Quington,5
Kong Xiu,5
Guan Ning,5
Liu Xun,5
Lady Liu,5
Wang Xiu,5
Wang Can,5
Chen Qun,5
Qin Mi,5
Xiahou De,5
Zhang Zhu,5
Zhang Da,5
Min Gong,4
Zu Mao,4
Yang Feng and Han Xian,4
Zhou Xin,4
Cao Amin,4
Wu Shi,4
Guan Ding,4
Li Fu,4
Lady Xun,4
Zhu Huan,4
Gong Zhi,4
Gao Pei,4
Xu Zhi,4
Fan Jian,4
Empress Dowager,3
Zhou Bi,3
Wei Hong,3
Geng Wu,3
Zhang Wen,3
Han Rong,3
Yan Yu,3
Liu An,3
Du Yu,3
Meng Tan,3
Ma Su,3
Chen Shi,3
Shen Dan,3
Dong Heng,3
Dong Chao,3
Chunyu Dan,3
Deng Zhi,3
Xu Shao,2
Pan Yin,2
Wu Kuang,2
Wu Qiong,2
Ma Midi,2
Sun Shao,2
Hu Chier,2
Zhiguan Hills,2
Ce Xian,2
Li Gui,2
Liu Fu,2
Zhao Yun and Zhang Fei,2
Qiao Zhou,2
Guo Huai,2
Xiahou Cun,2
Lu Chang,2
Jia Kui,2
Ma Yuanyi,1
Xun Chang,1
Zhang Hu,1
Li Ying,1
Chen Wei,1
Lady Kai,1
Cui Yong,1
Lu Kang,1
Chen Heng,1
Yan Xiang,1
Ma Rong,1
Wuhuan Chu,1
Liu Biao's wife,1
Liu Mi,1
Sun Gao,1
Fu Xuan,1
Cheng Deshu,1
Zhang Su,1
Jiang Wan,1
Zheng Du,1
Bing Yuan,1
Zhao Rong,1
Meng Huo,1
Dong Yun,1
"Guan Yu to his left, Zhang Fei to his right. Flourishing his whip, Liu Bei",0
Minister Zheng Tai,0
Wang Qi,0
Hu Miao,0
Li Bie,0
Yan Baihu the White Tiger,0
Wang Lian,0
"withdrew sadly, saying. “",0
Lady Qiao,0
"Cao Cao called him out and chided him, but the wife",0
Gongsun Gong,0
bye Cai Mao,0
Zhuge Xu,0
Yang Ling,0
Scarcely had he said this than a fire started and cries of “,0
Lady Zhi,0
Imperial Protector asked Yang Huai,0
He He,0
Wang Ji,0
High Minister Liu Ye,0
Cao Cao's scouts sent out from Yangping Pass,0
Wu Zhi,0
Jiang Ji,0
Commissariat Commander Zhao Lei,0
bewailed to Wang Fu,0
Sima Fu,0
Li Fu and Minister Xu Zhi,0
Empress Cao,0
"Zhuge Liang, in the name of all those assembled, presented the Imperial Seal. The Prince",0
Wang Shuang,0
